day,cpue
1,0
2,0
3,207
4,228
5,184
6,278
7,1058
8,942
9,2071
10,3734
11,2200
12,4336
13,1037
14,2599
15,3660
16,4570
17,5535
18,6424
19,3766
20,7400
21,10334
22,6245
23,3481
24,2330
25,6441
26,5695
27,5572
28,14264
29,3344
30,11205
31,4292
32,4208
33,2051
34,9262
35,6893
36,3427
37,2530
38,1457
39,1455
40,316
41,537
42,1288
43,442
44,358
