day,cpue
-2,0.00
-1,0.00
0,0.00
1,0.00
2,2.07
3,1.56
4,9.29
5,0.00
6,7.60
7,3.10
8,0.00
9,3.10
10,3.08
11,10.63
12,23.70
13,9.11
14,21.00
15,16.13
16,20.34
17,32.10
18,30.19
19,23.42
20,46.93
21,13.76
22,12.23
23,31.81
24,4.62
25,7.69
26,30.00
27,16.60
28,15.18
29,1.55
30,6.19
31,10.57
32,6.08
33,6.26
34,0.00
35,1.56
36,1.57
37,0.00
38,0.00
39,0.00
40,1.57
41,0.00
42,1.57
